,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
EC.UR,EC.UR,0,,"['Fall', 'IAP', 'Spring']",,,
EC.URG,EC.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
ES.010,ES.010,6,,['Spring'],,,
ES.1802,ES.1802,12,GIR:CAL1,"['Fall', 'Spring']",,CAL2,"{'LectureSession': ['MTWR1 VIRTUAL'], 'RecitationSession': ['F2 VIRTUAL']}"
ES.1803,ES.1803,12,[GIR:CAL2],"['Fall', 'Spring']",,REST,"{'RecitationSession': ['F12 66-160'], 'LectureSession': ['MTWR1 VIRTUAL']}"
ES.201,ES.201,3,Permission of instructor,['Spring'],,,{'LabSession': ['*TO BE ARRANGED VIRTUAL']}
ES.210,ES.210,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
ES.5111,ES.5111,12,,"['Fall', 'Spring']",,CHEM,"{'RecitationSession': ['F12 24-121'], 'LectureSession': ['MTWR12 VIRTUAL']}"
ES.7013,ES.7013,12,,['Spring'],,BIOL,"{'RecitationSession': ['F9 24-121'], 'LectureSession': ['MTWR9 VIRTUAL']}"
ES.802,ES.802,12,GIR:CAL1 and GIR:PHY1,['Spring'],,PHY2,"{'LectureSession': ['MTWR3 VIRTUAL'], 'RecitationSession': ['F2 24-115']}"
ES.8022,ES.8022,12,GIR:PHY1; [GIR:CAL2],['Spring'],,PHY2,"{'LectureSession': ['MTWR2 VIRTUAL'], 'RecitationSession': ['F2 VIRTUAL']}"
ES.9112,ES.9112,12,,['Spring'],HH,,{'LectureSession': ['MF2-3.30 VIRTUAL']}
ES.92,ES.92,6,,"['Fall', 'Spring']",,,{'LectureSession': ['TR10-11.30 VIRTUAL']}
ES.S30,ES.S30,0,,['Spring'],,,{'LectureSession': ['F3-5 VIRTUAL']}
ES.S40,ES.S40,0,,['Spring'],,,
ES.S70,ES.S70,0,,['Spring'],,,{'LectureSession': ['F2-4 VIRTUAL']}
ES.S90,ES.S90,0,,['Spring'],,,{'LectureSession': ['TR 1-2 VIRTUAL']}
ES.S91,ES.S91,0,,['Spring'],,,{'LectureSession': ['T EVE (6-9 PM) VIRTUAL']}
ES.UR,ES.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
